products,City,Demand
A-line dress,Frankfurt,23
A-line dress,Fresno,3
A-line dress,Geelong,9
A-line dress,Glasgow,5
A-line dress,Gold Coast,4
A-line dress,Halifax,2
A-line dress,Hamburg,4
A-line dress,Hamilton,5
A-line dress,Hanover,8
A-line dress,Hobart,6
A-line dress,Hull,3
A-line dress,Indianapolis,1
A-line dress,Jacksonville,1
A-line dress,Kansas City,6
A-line dress,Kelowna,9
A-line dress,Kitchener,3
A-line dress,Las Vegas,2
A-line dress,Launceston,4
A-line dress,Leeds,6
A-line dress,Leicester,5
A-line dress,Leipzig,6
A-line dress,Liverpool,2
A-line dress,London,10
A-line dress,Long Beach,1
A-line dress,Los Angeles,2
A-line dress,Louisville,3
A-line dress,Mackay,3
A-line dress,Manchester,4
A-line dress,Melbourne,3
A-line dress,Memphis,1
A-line dress,Minneapolis,2
A-line dress,Montreal,5
A-line dress,Munich,5
A-line dress,Münster,3
A-line dress,Nashville,2
A-line dress,New Orleans,1
A-line dress,New York,14
A-line dress,Newcastle,5
A-line dress,Newcastle upon Tyne,3
A-line dress,Nottingham,5
A-line dress,Nuremberg,1
A-line dress,Oklahoma City,2
A-line dress,Omaha,1
A-line dress,Oshawa,6
A-line dress,Ottawa,7
A-line dress,Oxford,5
A-line dress,Perth,4
A-line dress,Phoenix,2
A-line dress,Plymouth,2
A-line dress,Portland,1
A-line dress,Portsmouth,45
A-line dress,Quebec City,4
A-line dress,Raleigh,2
A-line dress,Regina,6
A-line dress,Sacramento,2
A-line dress,San Antonio,1
A-line dress,San Diego,2
A-line dress,San Francisco,30
A-line dress,Saskatoon,6
A-line dress,Seattle,1
A-line dress,Sheffield,2
A-line dress,Southampton,5
A-line dress,St. John's,3
A-line dress,Stuttgart,5
A-line dress,Sydney,6
A-line dress,Toowoomba,5
A-line dress,Toronto,4
A-line dress,Townsville,3
A-line dress,Tucson,5
A-line dress,Tulsa,1
A-line dress,Vancouver,7
A-line dress,Victoria,5
A-line dress,Washington,2
A-line dress,Wichita,4
A-line dress,Windsor,3
A-line dress,Winnipeg,8
A-line dress,Wollongong,4
A-line dress,Wuppertal,6
Acer Iconia Tab,Adelaide,8
Acer Iconia Tab,Albuquerque,5
Acer Iconia Tab,Albury-Wodonga,12
Acer Iconia Tab,Arlington,2
Acer Iconia Tab,Atlanta,4
Acer Iconia Tab,Austin,4
Acer Iconia Tab,Ballarat,7
Acer Iconia Tab,Baltimore,3
Acer Iconia Tab,Barrie,7
Acer Iconia Tab,Belfast,8
Acer Iconia Tab,Bendigo,9
Acer Iconia Tab,Berlin,13
Acer Iconia Tab,Bielefeld,8
Acer Iconia Tab,Birmingham,13
Acer Iconia Tab,Bochum,7
Acer Iconia Tab,Bonn,11
Acer Iconia Tab,Boston,49
Acer Iconia Tab,Bremen,12
Acer Iconia Tab,Brighton,14
Acer Iconia Tab,Brisbane,5
Acer Iconia Tab,Bristol,9
Acer Iconia Tab,Cairns,13
Acer Iconia Tab,Calgary,5
Acer Iconia Tab,Canberra,8
Acer Iconia Tab,Cardiff,9
Acer Iconia Tab,Chicago,55
Acer Iconia Tab,Cleveland,5
Acer Iconia Tab,Cologne,10
Acer Iconia Tab,Colorado Springs,6
Acer Iconia Tab,Columbus,2
Acer Iconia Tab,Dallas,6
Acer Iconia Tab,Darwin,11
Acer Iconia Tab,Denver,1
Acer Iconia Tab,Detroit,3
Acer Iconia Tab,Dortmund,10
Acer Iconia Tab,Dresden,13
Acer Iconia Tab,Duisburg,7
Acer Iconia Tab,Düsseldorf,7
Acer Iconia Tab,Edinburgh,8
Acer Iconia Tab,Edmonton,3
Acer Iconia Tab,El Paso,8
Acer Iconia Tab,Essen,9
Acer Iconia Tab,Fort Worth,27
Acer Iconia Tab,Frankfurt,52
Acer Iconia Tab,Fresno,3
Acer Iconia Tab,Geelong,11
Acer Iconia Tab,Glasgow,13
Acer Iconia Tab,Gold Coast,10
Acer Iconia Tab,Halifax,12
Acer Iconia Tab,Hamburg,6
Acer Iconia Tab,Hamilton,6
Acer Iconia Tab,Hanover,8
Acer Iconia Tab,Hobart,10
Acer Iconia Tab,Houston,4
Acer Iconia Tab,Hull,13
Acer Iconia Tab,Indianapolis,5
Acer Iconia Tab,Jacksonville,3
Acer Iconia Tab,Kansas City,3
Acer Iconia Tab,Kelowna,11
Acer Iconia Tab,Kitchener,6
Acer Iconia Tab,Las Vegas,2
Acer Iconia Tab,Launceston,10
Acer Iconia Tab,Leeds,11
Acer Iconia Tab,Leicester,9
Acer Iconia Tab,Leipzig,11
Acer Iconia Tab,Liverpool,9
Acer Iconia Tab,London,24
Acer Iconia Tab,Long Beach,8
Acer Iconia Tab,Los Angeles,2
Acer Iconia Tab,Louisville,3
Acer Iconia Tab,Mackay,9
Acer Iconia Tab,Manchester,2
Acer Iconia Tab,Melbourne,7
Acer Iconia Tab,Memphis,4
Acer Iconia Tab,Mesa,2
Acer Iconia Tab,Miami,1
Acer Iconia Tab,Milwaukee,5
Acer Iconia Tab,Minneapolis,2
Acer Iconia Tab,Montreal,12
Acer Iconia Tab,Munich,7
Acer Iconia Tab,Münster,4
Acer Iconia Tab,Nashville,5
Acer Iconia Tab,New Orleans,2
Acer Iconia Tab,New York,20
Acer Iconia Tab,Newcastle,13
Acer Iconia Tab,Newcastle upon Tyne,8
Acer Iconia Tab,Nottingham,11
Acer Iconia Tab,Nuremberg,6
Acer Iconia Tab,Oakland,3
Acer Iconia Tab,Oklahoma City,5
Acer Iconia Tab,Omaha,1
Acer Iconia Tab,Oshawa,9
Acer Iconia Tab,Ottawa,12
Acer Iconia Tab,Oxford,9
Acer Iconia Tab,Perth,8
Acer Iconia Tab,Philadelphia,2
Acer Iconia Tab,Phoenix,2
Acer Iconia Tab,Plymouth,13
Acer Iconia Tab,Portland,6
Acer Iconia Tab,Portsmouth,96
Acer Iconia Tab,Quebec City,12
Acer Iconia Tab,Raleigh,3
Acer Iconia Tab,Regina,10
Acer Iconia Tab,Sacramento,6
Acer Iconia Tab,San Antonio,7
Acer Iconia Tab,San Diego,4
Acer Iconia Tab,San Francisco,56
Acer Iconia Tab,San Jose,5
Acer Iconia Tab,Saskatoon,9
Acer Iconia Tab,Seattle,1
Acer Iconia Tab,Sheffield,15
Acer Iconia Tab,Southampton,5
Acer Iconia Tab,St. John's,11
Acer Iconia Tab,Stuttgart,9
Acer Iconia Tab,Sydney,12
Acer Iconia Tab,Toowoomba,12
Acer Iconia Tab,Toronto,12
Acer Iconia Tab,Townsville,10
Acer Iconia Tab,Tucson,4
Acer Iconia Tab,Tulsa,3
Acer Iconia Tab,Vancouver,6
Acer Iconia Tab,Victoria,12
Acer Iconia Tab,Virginia Beach,5
Acer Iconia Tab,Washington,3
Acer Iconia Tab,Wichita,8
Acer Iconia Tab,Windsor,12
Acer Iconia Tab,Winnipeg,12
Acer Iconia Tab,Wollongong,7
Acer Iconia Tab,Wuppertal,9
Acer Swift,Adelaide,4
Acer Swift,Albuquerque,3
Acer Swift,Albury-Wodonga,2
Acer Swift,Arlington,4
Acer Swift,Atlanta,1
Acer Swift,Austin,1
Acer Swift,Ballarat,6
Acer Swift,Baltimore,4
Acer Swift,Barrie,6
Acer Swift,Belfast,6
Acer Swift,Bendigo,4
Acer Swift,Berlin,2
Acer Swift,Bielefeld,3
Acer Swift,Birmingham,5
Acer Swift,Bochum,5
Acer Swift,Bonn,4
Acer Swift,Boston,14
Acer Swift,Bremen,6
Acer Swift,Brighton,3
Acer Swift,Brisbane,11
Acer Swift,Bristol,5
Acer Swift,Cairns,4
Acer Swift,Calgary,8
Acer Swift,Canberra,4
Acer Swift,Cardiff,3
Acer Swift,Charlotte,2
Acer Swift,Chicago,33
Acer Swift,Cleveland,2
Acer Swift,Cologne,2
Acer Swift,Colorado Springs,3
Acer Swift,Columbus,1
Acer Swift,Dallas,1
Acer Swift,Darwin,4
Acer Swift,Denver,3
Acer Swift,Detroit,2
Acer Swift,Dortmund,4
Acer Swift,Dresden,2
Acer Swift,Duisburg,4
Acer Swift,Düsseldorf,3
Acer Swift,Edinburgh,3
Acer Swift,Edmonton,2
Acer Swift,El Paso,3
Acer Swift,Essen,6
Acer Swift,Fort Worth,4
Acer Swift,Frankfurt,13
Acer Swift,Fresno,3
Acer Swift,Geelong,4
Acer Swift,Glasgow,5
Acer Swift,Gold Coast,4
Acer Swift,Halifax,4
Acer Swift,Hamburg,5
Acer Swift,Hamilton,6
Acer Swift,Hanover,4
Acer Swift,Hobart,3
Acer Swift,Houston,2
Acer Swift,Hull,6
Acer Swift,Indianapolis,1
Acer Swift,Jacksonville,1
Acer Swift,Kansas City,2
Acer Swift,Kelowna,6
Acer Swift,Kitchener,3
Acer Swift,Las Vegas,1
Acer Swift,Launceston,7
Acer Swift,Leicester,7
Acer Swift,Leipzig,7
Acer Swift,Liverpool,7
Acer Swift,London,10
Acer Swift,Long Beach,1
Acer Swift,Los Angeles,2
Acer Swift,Louisville,2
Acer Swift,Mackay,6
Acer Swift,Manchester,3
Acer Swift,Melbourne,4
Acer Swift,Memphis,3
Acer Swift,Mesa,1
Acer Swift,Miami,1
Acer Swift,Milwaukee,1
Acer Swift,Minneapolis,1
Acer Swift,Montreal,9
Acer Swift,Munich,3
Acer Swift,Münster,2
Acer Swift,Nashville,2
Acer Swift,New Orleans,4
Acer Swift,New York,13
Acer Swift,Newcastle,4
Acer Swift,Newcastle upon Tyne,4
Acer Swift,Nottingham,2
Acer Swift,Nuremberg,1
Acer Swift,Oakland,1
Acer Swift,Oklahoma City,3
Acer Swift,Oshawa,1
Acer Swift,Ottawa,7
Acer Swift,Oxford,3
Acer Swift,Perth,6
Acer Swift,Philadelphia,4
Acer Swift,Phoenix,2
Acer Swift,Plymouth,5
Acer Swift,Portland,1
Acer Swift,Portsmouth,40
Acer Swift,Quebec City,7
Acer Swift,Raleigh,1
Acer Swift,Regina,2
Acer Swift,Sacramento,2
Acer Swift,San Antonio,3
Acer Swift,San Diego,2
Acer Swift,San Francisco,25
Acer Swift,San Jose,1
Acer Swift,Saskatoon,3
Acer Swift,Seattle,2
Acer Swift,Sheffield,6
Acer Swift,Southampton,5
Acer Swift,St. John's,3
Acer Swift,Stuttgart,3
Acer Swift,Sydney,2
Acer Swift,Toowoomba,7
Acer Swift,Toronto,5
Acer Swift,Townsville,2
Acer Swift,Tucson,1
Acer Swift,Vancouver,3
Acer Swift,Victoria,5
Acer Swift,Virginia Beach,3
Acer Swift,Washington,1
Acer Swift,Wichita,2
Acer Swift,Windsor,5
Acer Swift,Winnipeg,2
Acer Swift,Wollongong,6
Acer Swift,Wuppertal,9
Action,Adelaide,4
Action,Albuquerque,1
Action,Albury-Wodonga,5
Action,Arlington,5
Action,Atlanta,1
Action,Austin,2
Action,Ballarat,8
Action,Baltimore,4
Action,Barrie,4
Action,Belfast,6
Action,Bendigo,7
Action,Berlin,3
Action,Bielefeld,5
Action,Birmingham,8
Action,Bochum,5
Action,Bonn,4
Action,Boston,23
Action,Bremen,3
Action,Brighton,3
Action,Brisbane,4
Action,Bristol,4
Action,Cairns,5
Action,Calgary,6
Action,Canberra,4
Action,Cardiff,3
Action,Charlotte,1
Action,Chicago,28
Action,Cologne,8
Action,Colorado Springs,1
Action,Columbus,2
Action,Dallas,4
Action,Darwin,6
Action,Denver,2
Action,Detroit,3
Action,Dortmund,5
Action,Dresden,5
Action,Duisburg,9
Action,Düsseldorf,5
Action,Edinburgh,6
Action,Edmonton,4
Action,Essen,4
Action,Fort Worth,7
Action,Frankfurt,24
Action,Fresno,1
Action,Geelong,9
Action,Glasgow,4
Action,Gold Coast,5
Action,Halifax,2
Action,Hamburg,4
Action,Hamilton,3
Action,Hanover,3
Action,Hobart,6
Action,Houston,4
Action,Hull,2
Action,Indianapolis,1
Action,Jacksonville,3
Action,Kansas City,2
Action,Kelowna,3
Action,Kitchener,4
Action,Launceston,12
Action,Leeds,6
Action,Leicester,2
Action,Leipzig,2
Action,Liverpool,7
Action,London,10
Action,Long Beach,1
Action,Los Angeles,2
Action,Mackay,3
Action,Manchester,2
Action,Melbourne,3
Action,Memphis,4
Action,Mesa,1
Action,Miami,1
Action,Milwaukee,1
Action,Minneapolis,4
Action,Montreal,8
Action,Munich,3
Action,Münster,4
Action,Nashville,1
Action,New Orleans,1
Action,New York,11
Action,Newcastle,7
Action,Newcastle upon Tyne,4
Action,Nottingham,2
Action,Nuremberg,7
Action,Oakland,1
Action,Oklahoma City,4
Action,Omaha,5
Action,Oshawa,4
Action,Ottawa,6
Action,Oxford,7
Action,Perth,2
Action,Philadelphia,1
Action,Phoenix,1
Action,Plymouth,5
Action,Portsmouth,38
Action,Quebec City,4
Action,Raleigh,2
Action,Regina,3
Action,Sacramento,1
Action,San Francisco,36
Action,San Jose,3
Action,Saskatoon,11
Action,Seattle,1
Action,Sheffield,5
Action,Southampton,5
Action,St. John's,5
Action,Stuttgart,1
Action,Sydney,2
Action,Toronto,3
Action,Townsville,4
Action,Tucson,1
Action,Tulsa,3
Action,Vancouver,5
Action,Victoria,5
Action,Virginia Beach,3
Action,Washington,2
Action,Wichita,1
Action,Windsor,5
Action,Winnipeg,8
Action,Wollongong,5
Action,Wuppertal,3
Adventure,Adelaide,18
Adventure,Albuquerque,13
Adventure,Albury-Wodonga,22
Adventure,Arlington,2
Adventure,Atlanta,5
Adventure,Austin,8
Adventure,Ballarat,30
Adventure,Baltimore,5
Adventure,Barrie,16
Adventure,Belfast,21
Adventure,Bendigo,13
Adventure,Berlin,16
Adventure,Bielefeld,19
Adventure,Birmingham,20
Adventure,Bochum,21
Adventure,Bonn,19
Adventure,Boston,78
Adventure,Bremen,14
Adventure,Brighton,17
Adventure,Brisbane,19
Adventure,Bristol,15
Adventure,Cairns,14
Adventure,Calgary,25
Adventure,Canberra,20
Adventure,Cardiff,15
Adventure,Charlotte,8
Adventure,Chicago,95
Adventure,Cleveland,7
Adventure,Cologne,23
Adventure,Colorado Springs,10
Adventure,Columbus,13
Adventure,Dallas,5
Adventure,Darwin,18
Adventure,Denver,6
Adventure,Detroit,4
Adventure,Dortmund,16
Adventure,Dresden,12
Adventure,Duisburg,13
Adventure,Düsseldorf,21
Adventure,Edinburgh,17
Adventure,Edmonton,13
Adventure,El Paso,8
Adventure,Essen,18
Adventure,Fort Worth,60
Adventure,Frankfurt,93
Adventure,Fresno,8
Adventure,Geelong,14
Adventure,Glasgow,23
Adventure,Gold Coast,20
Adventure,Halifax,12
Adventure,Hamburg,17
Adventure,Hamilton,22
Adventure,Hanover,13
Adventure,Hobart,25
Adventure,Houston,13
Adventure,Hull,22
Adventure,Indianapolis,9
Adventure,Jacksonville,11
Adventure,Kansas City,5
Adventure,Kelowna,14
Adventure,Kitchener,18
Adventure,Las Vegas,9
Adventure,Launceston,25
Adventure,Leeds,21
Adventure,Leicester,23
Adventure,Leipzig,20
Adventure,Liverpool,21
Adventure,London,31
Adventure,Long Beach,11
Adventure,Los Angeles,10
Adventure,Louisville,4
Adventure,Mackay,17
Adventure,Manchester,23
Adventure,Melbourne,15
Adventure,Memphis,5
Adventure,Mesa,6
Adventure,Miami,8
Adventure,Milwaukee,8
Adventure,Minneapolis,9
Adventure,Montreal,16
Adventure,Munich,33
Adventure,Münster,21
Adventure,Nashville,10
Adventure,New Orleans,6
Adventure,New York,42
Adventure,Newcastle,20
Adventure,Newcastle upon Tyne,16
Adventure,Nottingham,23
Adventure,Nuremberg,19
Adventure,Oakland,9
Adventure,Oklahoma City,7
Adventure,Omaha,5
Adventure,Oshawa,18
Adventure,Ottawa,24
Adventure,Oxford,14
Adventure,Perth,16
Adventure,Philadelphia,7
Adventure,Phoenix,7
Adventure,Plymouth,22
Adventure,Portland,7
Adventure,Portsmouth,171
Adventure,Quebec City,13
Adventure,Raleigh,7
Adventure,Regina,10
Adventure,Sacramento,6
Adventure,San Antonio,13
Adventure,San Diego,6
Adventure,San Francisco,117
Adventure,San Jose,9
Adventure,Saskatoon,21
Adventure,Seattle,8
Adventure,Sheffield,24
Adventure,Southampton,12
Adventure,St. John's,15
Adventure,Stuttgart,12
Adventure,Sydney,21
Adventure,Toowoomba,19
Adventure,Toronto,15
Adventure,Townsville,18
Adventure,Tucson,9
Adventure,Tulsa,8
Adventure,Vancouver,10
Adventure,Victoria,18
Adventure,Virginia Beach,4
Adventure,Washington,8
Adventure,Wichita,8
Adventure,Windsor,14
Adventure,Winnipeg,20
Adventure,Wollongong,18
Adventure,Wuppertal,21
Affogato,Adelaide,3
Affogato,Albuquerque,3
Affogato,Albury-Wodonga,2
Affogato,Arlington,5
Affogato,Atlanta,1
Affogato,Austin,4
Affogato,Ballarat,4
Affogato,Baltimore,5
Affogato,Barrie,7
Affogato,Belfast,4
Affogato,Bendigo,3
Affogato,Berlin,6
Affogato,Bielefeld,2
Affogato,Birmingham,3
Affogato,Bochum,5
Affogato,Bonn,8
Affogato,Boston,16
Affogato,Bremen,6
Affogato,Brighton,3
Affogato,Brisbane,6
Affogato,Bristol,4
Affogato,Cairns,5
Affogato,Calgary,5
Affogato,Canberra,3
Affogato,Cardiff,2
Affogato,Charlotte,1
Affogato,Chicago,31
Affogato,Cleveland,5
Affogato,Cologne,6
Affogato,Columbus,3
Affogato,Darwin,4
Affogato,Denver,1
Affogato,Detroit,1
Affogato,Dortmund,4
Affogato,Dresden,7
Affogato,Duisburg,6
Affogato,Düsseldorf,3
Affogato,Edinburgh,3
Affogato,Edmonton,2
Affogato,El Paso,1
Affogato,Essen,4
Affogato,Fort Worth,15
Affogato,Frankfurt,23
Affogato,Fresno,2
Affogato,Geelong,2
Affogato,Glasgow,3
Affogato,Gold Coast,6
Affogato,Halifax,6
Affogato,Hamburg,3
Affogato,Hamilton,4
Affogato,Hanover,4
Affogato,Hobart,4
Affogato,Houston,1
Affogato,Hull,5
Affogato,Indianapolis,1
Affogato,Jacksonville,3
Affogato,Kansas City,1
Affogato,Kelowna,7
Affogato,Kitchener,7
Affogato,Las Vegas,2
Affogato,Launceston,3
Affogato,Leeds,1
Affogato,Leicester,6
Affogato,Leipzig,4
Affogato,Liverpool,3
Affogato,London,10
Affogato,Long Beach,1
Affogato,Los Angeles,2
Affogato,Louisville,2
Affogato,Mackay,7
Affogato,Manchester,5
Affogato,Melbourne,3
Affogato,Memphis,3
Affogato,Mesa,4
Affogato,Miami,1
Affogato,Milwaukee,3
Affogato,Minneapolis,2
Affogato,Montreal,7
Affogato,Munich,6
Affogato,Münster,4
Affogato,Nashville,1
Affogato,New Orleans,1
Affogato,New York,9
Affogato,Newcastle,6
Affogato,Newcastle upon Tyne,4
Affogato,Nottingham,3
Affogato,Nuremberg,3
Affogato,Oakland,4
Affogato,Oklahoma City,2
Affogato,Omaha,2
Affogato,Oshawa,4
Affogato,Ottawa,2
Affogato,Oxford,4
Affogato,Perth,5
Affogato,Philadelphia,1
Affogato,Phoenix,3
Affogato,Plymouth,4
Affogato,Portland,1
Affogato,Portsmouth,45
Affogato,Quebec City,7
Affogato,Raleigh,5
Affogato,Regina,3
Affogato,Sacramento,1
Affogato,San Antonio,4
Affogato,San Diego,5
Affogato,San Francisco,36
Affogato,San Jose,4
Affogato,Saskatoon,2
Affogato,Seattle,3
Affogato,Sheffield,7
Affogato,Southampton,4
Affogato,St. John's,5
Affogato,Stuttgart,7
Affogato,Sydney,6
Affogato,Toowoomba,5
Affogato,Toronto,4
Affogato,Townsville,6
Affogato,Tucson,1
Affogato,Tulsa,1
Affogato,Vancouver,3
Affogato,Victoria,6
Affogato,Virginia Beach,3
Affogato,Washington,1
Affogato,Wichita,2
Affogato,Windsor,5
Affogato,Winnipeg,7
Affogato,Wollongong,5
Affogato,Wuppertal,5
Air conditioner,Adelaide,7
Air conditioner,Albuquerque,2
Air conditioner,Albury-Wodonga,7
Air conditioner,Arlington,2
Air conditioner,Austin,4
Air conditioner,Ballarat,8
Air conditioner,Baltimore,1
Air conditioner,Barrie,4
Air conditioner,Belfast,13
Air conditioner,Bendigo,5
Air conditioner,Berlin,10
Air conditioner,Bielefeld,11
Air conditioner,Birmingham,9
Air conditioner,Bochum,5
Air conditioner,Bonn,9
Air conditioner,Boston,2
Air conditioner,Bremen,4
Air conditioner,Brighton,5
Air conditioner,Brisbane,6
Air conditioner,Bristol,9
Air conditioner,Cairns,6
Air conditioner,Calgary,4
Air conditioner,Canberra,8
Air conditioner,Cardiff,2
Air conditioner,Charlotte,4
Air conditioner,Chicago,1
Air conditioner,Cleveland,2
Air conditioner,Cologne,9
Air conditioner,Colorado Springs,4
Air conditioner,Columbus,4
Air conditioner,Dallas,1
Air conditioner,Darwin,5
Air conditioner,Denver,1
Air conditioner,Detroit,1
Air conditioner,Dortmund,4
Air conditioner,Dresden,3
Air conditioner,Duisburg,4
Air conditioner,Düsseldorf,8
Air conditioner,Edinburgh,10
Air conditioner,Edmonton,8
Air conditioner,El Paso,4
Air conditioner,Essen,9
Air conditioner,Fort Worth,3
Air conditioner,Frankfurt,4
Air conditioner,Geelong,5
Air conditioner,Glasgow,5
Air conditioner,Gold Coast,7
Air conditioner,Halifax,8
Air conditioner,Hamburg,4
Air conditioner,Hamilton,5
Air conditioner,Hanover,8
Air conditioner,Hobart,7
Air conditioner,Houston,3
Air conditioner,Hull,6
Air conditioner,Indianapolis,3
Air conditioner,Jacksonville,1
Air conditioner,Kansas City,1
Air conditioner,Kelowna,11
Air conditioner,Kitchener,7
Air conditioner,Las Vegas,3
Air conditioner,Launceston,7
Air conditioner,Leeds,6
Air conditioner,Leicester,11
Air conditioner,Leipzig,4
Air conditioner,Liverpool,7
Air conditioner,London,16
Air conditioner,Los Angeles,2
Air conditioner,Louisville,2
Air conditioner,Mackay,11
Air conditioner,Manchester,2
Air conditioner,Melbourne,6
Air conditioner,Memphis,3
Air conditioner,Mesa,1
Air conditioner,Miami,3
Air conditioner,Milwaukee,4
Air conditioner,Minneapolis,4
Air conditioner,Montreal,5
Air conditioner,Munich,10
Air conditioner,Münster,5
Air conditioner,Nashville,6
Air conditioner,New Orleans,4
Air conditioner,New York,2
Air conditioner,Newcastle,3
Air conditioner,Newcastle upon Tyne,3
Air conditioner,Nottingham,7
Air conditioner,Nuremberg,5
Air conditioner,Oakland,1
Air conditioner,Oklahoma City,3
Air conditioner,Omaha,6
Air conditioner,Oshawa,5
Air conditioner,Ottawa,6
Air conditioner,Oxford,4
Air conditioner,Perth,5
Air conditioner,Philadelphia,3
Air conditioner,Phoenix,1
Air conditioner,Plymouth,12
Air conditioner,Portland,4
Air conditioner,Portsmouth,14
Air conditioner,Quebec City,10
Air conditioner,Regina,5
Air conditioner,Sacramento,4
Air conditioner,San Antonio,1
Air conditioner,San Diego,2
Air conditioner,San Francisco,2
Air conditioner,San Jose,2
Air conditioner,Saskatoon,4
Air conditioner,Seattle,4
Air conditioner,Sheffield,8
Air conditioner,Southampton,7
Air conditioner,St. John's,6
Air conditioner,Stuttgart,4
Air conditioner,Sydney,6
Air conditioner,Toowoomba,5
Air conditioner,Toronto,6
Air conditioner,Townsville,4
Air conditioner,Tucson,4
Air conditioner,Tulsa,2
Air conditioner,Vancouver,6
Air conditioner,Victoria,8
Air conditioner,Virginia Beach,1
Air conditioner,Washington,2
Air conditioner,Wichita,3
Air conditioner,Windsor,8
Air conditioner,Winnipeg,8
Air conditioner,Wollongong,7
Air conditioner,Wuppertal,11
