Product,City,Allocated_Quantity
Xiaomi Mi,Portsmouth,0.0
Root beer,Portsmouth,0.0
Track lighting,Portsmouth,0.0
Razer Blade,Portsmouth,0.0
Samsung Notebook,Portsmouth,0.0
Milk chocolate,Portsmouth,0.0
Varsity jacket,Portsmouth,0.0
Decorative pillows,Portsmouth,0.0
Crop top,Portsmouth,0.0
Clothing,Portsmouth,0.0
Lemon-lime soda,Portsmouth,0.0
Dresser,Portsmouth,0.0
Ceiling lights,Portsmouth,0.0
Loafers,Portsmouth,0.0
LCD TV,Portsmouth,0.0
Bathtub,Portsmouth,0.0
Dystopian,Portsmouth,0.0
Bed sheet set,Portsmouth,0.0
Sheath dress,Portsmouth,0.0
Over-ear headphones,Portsmouth,0.0
Electric kettle,Portsmouth,0.0
Mirror,Portsmouth,0.0
Puzzles,Portsmouth,0.0
Polo shirt,Portsmouth,0.0
On-ear headphones,Portsmouth,0.0
Horror,Portsmouth,0.0
Art supplies,Portsmouth,0.0
Bootcut jeans,Portsmouth,0.0
Sofa,Portsmouth,0.0
Sparkling water,Portsmouth,0.0
Cargo shorts,Portsmouth,0.0
Microsoft Surface,Portsmouth,0.0
Chocolate bars,Portsmouth,0.0
Essays,Portsmouth,0.0
Tank top,Portsmouth,0.0
Food processor,Portsmouth,0.0
Mirrors,Portsmouth,0.0
Health,Portsmouth,0.0
iPad,Portsmouth,0.0
Energy drink,Portsmouth,0.0
Bermuda shorts,Portsmouth,0.0
A-line dress,Portsmouth,0.0
Asus ZenPad,Portsmouth,0.0
Scoop neck tee,Portsmouth,0.0
Action,Portsmouth,0.0
Henley tee,Portsmouth,0.0
Spring water,Portsmouth,0.0
High heels,Portsmouth,0.0
Candles,Portsmouth,0.0
Cola,Portsmouth,0.0
Nokia,Portsmouth,0.0
Wardrobe,Portsmouth,0.0
Drill,Portsmouth,0.0
Blender,Portsmouth,0.0
Alkaline water,Portsmouth,0.0
Picture frames,Portsmouth,0.0
Shift dress,Portsmouth,0.0
Espadrilles,Portsmouth,0.0
Psychology,Portsmouth,0.0
Blazer,Portsmouth,0.0
Refrigerator,Portsmouth,0.0
Truffles,Portsmouth,0.0
Cropped jeans,Portsmouth,0.0
TV stand,Portsmouth,0.0
Off-the-shoulder tee,Portsmouth,0.0
Plasma TV,Portsmouth,0.0
Americano,Portsmouth,0.0
Khaki shorts,Portsmouth,0.0
Saw,Portsmouth,0.0
Contemporary literature,Portsmouth,0.0
Coffee maker,Portsmouth,0.0
Smart TV,Portsmouth,0.0
Denim jacket,Portsmouth,0.0
Raglan tee,Portsmouth,0.0
Huawei MediaPad,Portsmouth,0.0
Nightstand,Portsmouth,0.0
Romance,Portsmouth,0.0
Sandals,Portsmouth,0.0
Anthologies,Portsmouth,0.0
Mattress topper,Portsmouth,0.0
Acer Iconia Tab,Portsmouth,0.0
Caulking gun,Portsmouth,0.0
Psychological thriller,Portsmouth,0.0
Mineral water,Portsmouth,0.0
Acer Swift,Portsmouth,0.0
Throw pillow,Portsmouth,0.0
Long-sleeve tee,Portsmouth,0.0
Games,Portsmouth,0.0
Ginger ale,Portsmouth,0.0
Motorola Moto,Portsmouth,0.0
Straight-leg jeans,Portsmouth,0.0
Skorts,Portsmouth,0.0
Lenovo Tab,Portsmouth,0.0
Denim shorts,Portsmouth,0.0
Sony Xperia Tablet,Portsmouth,0.0
Board shorts,Portsmouth,0.0
Table lamps,Portsmouth,0.0
Sports equipment,Portsmouth,0.0
Cycling shorts,Portsmouth,0.0
Rugs,Portsmouth,0.0
LED TV,Portsmouth,0.0
Fruit punch,Portsmouth,0.0
Hammer,Portsmouth,0.0
Bomber jacket,Portsmouth,0.0
Plain tee,Portsmouth,0.0
Boots,Portsmouth,0.0
Duvet cover,Portsmouth,0.0
Lenovo ThinkPad,Portsmouth,0.0
Chocolate-covered nuts,Portsmouth,0.0
Graphic tee,Portsmouth,0.0
Wall sconces,Portsmouth,0.0
Sweatshirt,Portsmouth,0.0
Instant coffee,Portsmouth,0.0
Mixed fruit juice,Portsmouth,0.0
Google Pixel Slate,Portsmouth,0.0
Distressed jeans,Portsmouth,0.0
Desk lamps,Portsmouth,0.0
Mango juice,Portsmouth,0.0
Thriller,Portsmouth,0.0
Under cabinet lighting,Portsmouth,0.0
Historical fiction,Portsmouth,0.0
Soap dispenser,Portsmouth,0.0
Latte,Portsmouth,0.0
Tomato juice,Portsmouth,0.0
Artesian water,Portsmouth,0.0
Pretzels,Portsmouth,0.0
Utility knife,Portsmouth,0.0
Athletic shorts,Portsmouth,0.0
Asus ZenBook,Portsmouth,0.0
OnePlus,Portsmouth,0.0
High-waisted jeans,Portsmouth,0.0
Cappuccino,Portsmouth,0.0
Plush toys,Portsmouth,0.0
Slippers,Portsmouth,0.0
Quilt,Portsmouth,0.0
Sony Xperia,Portsmouth,0.0
Techno-thriller,Portsmouth,0.0
Microwave,Portsmouth,0.0
Coconut water,Portsmouth,0.0
Flare jeans,Portsmouth,0.0
Building blocks,Portsmouth,0.0
Wireless headphones,Portsmouth,0.0
Science fiction,Portsmouth,0.0
4K TV,Portsmouth,0.0
Ground coffee,Portsmouth,0.0
Beef jerky,Portsmouth,0.0
Chocolate fondue,Portsmouth,0.0
Flip flops,Portsmouth,0.0
Toilet,Portsmouth,0.0
Books,Portsmouth,0.0
MacBook,Portsmouth,0.0
Flannel shirt,Portsmouth,0.0
Mystery,Portsmouth,0.0
Wrench,Portsmouth,0.0
Biography,Portsmouth,0.0
Dark chocolate,Portsmouth,0.0
Hoodie,Portsmouth,0.0
Espresso,Portsmouth,0.0
Orange soda,Portsmouth,0.0
Casual dress,Portsmouth,0.0
Floor lamps,Portsmouth,0.0
Wide-leg jeans,Portsmouth,0.0
Bluetooth headphones,Portsmouth,0.0
Mocha,Portsmouth,0.0
Dust ruffle,Portsmouth,0.0
Wrap dress,Portsmouth,0.0
Gaming headphones,Portsmouth,0.0
Noise-cancelling headphones,Portsmouth,0.0
Suspense,Portsmouth,0.0
Blouse,Portsmouth,0.0
Oven,Portsmouth,0.0
Toilet paper holder,Portsmouth,0.0
QLED TV,Portsmouth,0.0
Skinny jeans,Portsmouth,0.0
Fit and flare dress,Portsmouth,0.0
Chocolate cookies,Portsmouth,0.0
Educational kits,Portsmouth,0.0
Toaster,Portsmouth,0.0
Toothbrush holder,Portsmouth,0.0
Parka,Portsmouth,0.0
Chips,Portsmouth,0.0
Coffee beans,Portsmouth,0.0
HP Spectre,Portsmouth,0.0
Macchiato,Portsmouth,0.0
Level,Portsmouth,0.0
Recessed lighting,Portsmouth,0.0
Granola bars,Portsmouth,0.0
Windbreaker,Portsmouth,0.0
Trail mix,Portsmouth,0.0
Boyfriend jeans,Portsmouth,0.0
Trench coat,Portsmouth,0.0
Non-fiction literature,Portsmouth,0.0
Leather jacket,Portsmouth,0.0
Crackers,Portsmouth,0.0
Modern literature,Portsmouth,0.0
Swim trunks,Portsmouth,0.0
Dell XPS,Portsmouth,0.0
In-ear headphones,Portsmouth,0.0
Cocktail dress,Portsmouth,0.0
Tape measure,Portsmouth,0.0
Poetry,Portsmouth,0.0
Low-rise jeans,Portsmouth,0.0
Chandeliers,Portsmouth,0.0
Bed skirt,Portsmouth,0.0
Legal thriller,Portsmouth,0.0
Classic literature,Portsmouth,0.0
Shower,Portsmouth,0.0
Sundress,Portsmouth,0.0
Bed,San Jose,0.0
Drill,Cologne,0.0
Sundress,Hamilton,0.0
Sandals,Manchester,0.0
Anthologies,Cardiff,0.0
Desk lamps,Glasgow,0.0
Under cabinet lighting,Hull,0.0
Psychology,Cleveland,0.0
Cranberry juice,Hamilton,0.0
Bed,Southampton,0.0
Flavored water,Leipzig,0.0
Business,Cairns,0.0
Android TV,London,0.0
Orange juice,Bielefeld,0.0
Towel rack,Düsseldorf,0.0
Sneakers,Philadelphia,0.0
Adventure,Glasgow,0.0
Windbreaker,Halifax,0.0
Blanket,Montreal,0.0
History,Dortmund,0.0
Wide-leg jeans,Mackay,0.0
Plush toys,London,0.0
Dishwasher,Quebec City,0.0
Crime,Barrie,0.0
Straight-leg jeans,Adelaide,0.0
HP Spectre,Leeds,0.0
Casual dress,Plymouth,0.0
Fruit punch,Perth,0.0
Running shoes,Sheffield,0.0
Comforter,Frankfurt,0.0
Mango juice,Toronto,0.0
Pineapple juice,Essen,0.0
Wrap dress,Kelowna,0.0
Bluetooth headphones,Birmingham,0.0
Action,Ottawa,0.0
Ground coffee,Liverpool,0.0
Picture frames,St. John's,0.0
Mineral water,Hobart,0.0
Puzzles,Toronto,0.0
Chandeliers,Hull,0.0
Orange soda,Hobart,0.0
Dresser,Atlanta,0.0
Literary fiction,Cairns,0.0
Asus ZenPad,Hull,0.0
Loafers,New Orleans,0.0
Popcorn,Wichita,0.0
Health,Cairns,0.0
OnePlus,Munich,0.0
Fit and flare dress,Cleveland,0.0
Plain tee,Albury-Wodonga,0.0
High-waisted jeans,Winnipeg,0.0
Skorts,Hull,0.0
Decorative pillows,Bristol,0.0
Psychological thriller,Vancouver,0.0
Graphic tee,Hamburg,0.0
Chocolate mousse,Windsor,0.0
Sports equipment,Calgary,0.0
Dust ruffle,Cleveland,0.0
Literary fiction,Atlanta,0.0
Wireless headphones,Plymouth,0.0
Chocolate cookies,Newcastle upon Tyne,0.0
Latte,Montreal,0.0
Samsung Galaxy,Townsville,0.0
Clothing,Oshawa,0.0
Refrigerator,Houston,0.0
Truffles,Brisbane,0.0
Slippers,Newcastle upon Tyne,0.0
Drill,Berlin,0.0
Cooking,Seattle,0.0
Games,Charlotte,0.0
Orange soda,New York,0.0
Motorola Moto,Milwaukee,0.0
Desk,Edinburgh,0.0
Spring water,Frankfurt,0.0
Chocolate cookies,Charlotte,0.0
Raglan tee,Launceston,0.0
Romance,Bochum,0.0
Ginger ale,Münster,0.0
Chips,Bonn,0.0
Huawei MediaPad,Columbus,0.0
Anthologies,Liverpool,0.0
Thriller,Cologne,0.0
Sony Xperia Tablet,Cardiff,0.0
Cooking,Melbourne,0.0
Biography,Leeds,0.0
Cappuccino,Leicester,0.0
Cocktail dress,Fort Worth,0.0
Table lamps,Toowoomba,0.0
High heels,Victoria,0.0
Google Pixel Slate,Launceston,0.0
Boots,Calgary,0.0
Bootcut jeans,Oxford,0.0
Wireless headphones,Canberra,0.0
Tank top,Victoria,0.0
Dining table,Wollongong,0.0
Oxfords,Adelaide,0.0
Asus ZenBook,Hull,0.0
Bookshelf,Vancouver,0.0
OnePlus,Saskatoon,0.0
Microwave,London,0.0
Bed,Memphis,0.0
OnePlus,Regina,0.0
LG G,Hobart,0.0
Clocks,Hamburg,0.0
Psychology,Kelowna,0.0
Lemon-lime soda,Hull,0.0
Pillowcase set,Leipzig,0.0
Ground coffee,Manchester,0.0
Graphic tee,Canberra,0.0
Under cabinet lighting,Frankfurt,0.0
Ceiling lights,Hanover,0.0
Xiaomi Mi,Wichita,0.0
Xiaomi Mi,Columbus,0.0
Acer Iconia Tab,Long Beach,0.0
Poetry,Hamilton,0.0
Plasma TV,Townsville,0.0
Mixed fruit juice,San Francisco,0.0
Dell XPS,Nuremberg,0.0
Puzzles,Minneapolis,0.0
Self-help,Colorado Springs,0.0
Flannel shirt,Hanover,0.0
Root beer,Saskatoon,0.0
Cranberry juice,Duisburg,0.0
Grapefruit juice,Brisbane,0.0
Candles,Denver,0.0
Mirrors,Hanover,0.0
Coffee table,Southampton,0.0
Tomato juice,Glasgow,0.0
Alkaline water,Cleveland,0.0
Huawei P,Bochum,0.0
Wall art,Winnipeg,0.0
Off-the-shoulder tee,Bendigo,0.0
Americano,Kitchener,0.0
Sony Xperia,Bremen,0.0
Cooking,London,0.0
Health,Philadelphia,0.0
Pomegranate juice,Duisburg,0.0
Graphic tee,Regina,0.0
Denim jacket,Manchester,0.0
Mocha,Boston,0.0
Essays,Tucson,0.0
Windbreaker,Duisburg,0.0
Razer Blade,Tulsa,0.0
Athletic shorts,Canberra,0.0
Picture frames,Portland,0.0
Cheese snacks,Kansas City,0.0
Samsung Galaxy,London,0.0
Artesian water,Wollongong,0.0
Fantasy,Townsville,0.0
Wall art,Ottawa,0.0
Sony Xperia,Glasgow,0.0
Desk,Düsseldorf,0.0
Wardrobe,Birmingham,0.0
Building blocks,Brighton,0.0
Mineral water,Cairns,0.0
Samsung Galaxy Tab,Oshawa,0.0
Boots,Geelong,0.0
Asus ZenBook,Edinburgh,0.0
Crackers,Edinburgh,0.0
Modern literature,Essen,0.0
Techno-thriller,Melbourne,0.0
Swim trunks,Victoria,0.0
Sneakers,Victoria,0.0
Sneakers,Cologne,0.0
Coconut water,Bielefeld,0.0
Caulking gun,Duisburg,0.0
Recessed lighting,Townsville,0.0
Psychology,Melbourne,0.0
Wrench,Bielefeld,0.0
Samsung Galaxy,Cardiff,0.0
On-ear headphones,Boston,0.0
MacBook,Melbourne,0.0
Games,Melbourne,0.0
Sneakers,Berlin,0.0
Travel,Halifax,0.0
Energy drink,Leipzig,0.0
Chips,Townsville,0.0
Business,Windsor,0.0
Acer Iconia Tab,Fort Worth,0.0
Health,Fort Worth,0.0
Toilet paper holder,Fort Worth,0.0
Fit and flare dress,Fort Worth,0.0
Tank top,Fort Worth,0.0
QLED TV,Fort Worth,0.0
Windbreaker,Fort Worth,0.0
Essays,Fort Worth,0.0
Sofa,Fort Worth,0.0
Athletic shorts,Fort Worth,0.0
Fantasy,Fort Worth,0.0
LG G,Fort Worth,0.0
Historical fiction,Fort Worth,0.0
Literary fiction,Fort Worth,0.0
Leather jacket,Fort Worth,0.0
Chips,Fort Worth,0.0
Thriller,Fort Worth,0.0
Orange soda,Fort Worth,0.0
Oxfords,Fort Worth,0.0
Utility knife,Fort Worth,0.0
Iced tea,Fort Worth,0.0
Cycling shorts,Fort Worth,0.0
Psychology,Fort Worth,0.0
Razer Blade,Fort Worth,0.0
Under cabinet lighting,Fort Worth,0.0
Asus ZenPad,Fort Worth,0.0
Microsoft Surface,Fort Worth,0.0
Dystopian,Fort Worth,0.0
Denim jacket,Fort Worth,0.0
Picture frames,Fort Worth,0.0
Mineral water,Fort Worth,0.0
Orange juice,Fort Worth,0.0
Huawei P,Fort Worth,0.0
Travel,Fort Worth,0.0
Blanket,Fort Worth,0.0
Crime,Fort Worth,0.0
Slippers,Fort Worth,0.0
Maxi dress,Fort Worth,0.0
History,Fort Worth,0.0
Nuts,Fort Worth,0.0
Spring water,Fort Worth,0.0
High heels,Fort Worth,0.0
Chocolate mousse,Fort Worth,0.0
Toaster,Fort Worth,0.0
Dresser,Fort Worth,0.0
LCD TV,Fort Worth,0.0
Flavored water,Fort Worth,0.0
Amazon Fire Tablet,Fort Worth,0.0
Memoir,Fort Worth,0.0
Level,Fort Worth,0.0
Ceiling lights,Fort Worth,0.0
Sony Xperia Tablet,Fort Worth,0.0
Desk lamps,Fort Worth,0.0
Android TV,Fort Worth,0.0
Distilled water,Fort Worth,0.0
Lenovo ThinkPad,Fort Worth,0.0
Coffee table,Fort Worth,0.0
Chocolate bars,Fort Worth,0.0
Soap dispenser,Fort Worth,0.0
Running shoes,Fort Worth,0.0
Huawei MediaPad,Fort Worth,0.0
Vases,Fort Worth,0.0
OLED TV,Fort Worth,0.0
Flare jeans,Fort Worth,0.0
Crackers,Fort Worth,0.0
Bookshelf,Fort Worth,0.0
Cooking,Fort Worth,0.0
Sports headphones,Fort Worth,0.0
Sink,Fort Worth,0.0
Science fiction,Fort Worth,0.0
Crop top,Fort Worth,0.0
Anthologies,Fort Worth,0.0
Bootcut jeans,Fort Worth,0.0
Bed,Fort Worth,0.0
Root beer,Fort Worth,0.0
Contemporary literature,Fort Worth,0.0
Bluetooth headphones,Fort Worth,0.0
Low-rise jeans,Fort Worth,0.0
Gaming headphones,Fort Worth,0.0
Trail mix,Fort Worth,0.0
Classic literature,Fort Worth,0.0
Dishwasher,Fort Worth,0.0
Techno-thriller,Fort Worth,0.0
Self-help,Fort Worth,0.0
Desk,Fort Worth,0.0
Cranberry juice,Fort Worth,0.0
Flannel shirt,Fort Worth,0.0
Grape soda,Fort Worth,0.0
Skinny jeans,Fort Worth,0.0
Sculptures,Fort Worth,0.0
Instant coffee,Fort Worth,0.0
Mango juice,Fort Worth,0.0
Towel rack,Fort Worth,0.0
Cream soda,Fort Worth,0.0
Science,Fort Worth,0.0
Apple juice,Fort Worth,0.0
Track lighting,Fort Worth,0.0
Henley shirt,Fort Worth,0.0
Alkaline water,Fort Worth,0.0
Chandeliers,Fort Worth,0.0
Skorts,Fort Worth,0.0
Boots,Fort Worth,0.0
Mixed fruit juice,Fort Worth,0.0
Biography,Fort Worth,0.0
Decorative pillows,Fort Worth,0.0
Bomber jacket,Fort Worth,0.0
4K TV,Fort Worth,0.0
Toys,Fort Worth,0.0
Graphic tee,Fort Worth,0.0
Henley tee,Fort Worth,0.0
Plain tee,Fort Worth,0.0
Crew neck tee,Fort Worth,0.0
Plasma TV,Fort Worth,0.0
Google Pixel,Fort Worth,0.0
Blouse,Fort Worth,0.0
Ground coffee,Fort Worth,0.0
Bottled water,Fort Worth,0.0
Coffee maker,Fort Worth,0.0
Suspense,Fort Worth,0.0
Dining table,Fort Worth,0.0
Blazer,Fort Worth,0.0
Adventure,Fort Worth,0.0
Chocolate cookies,Fort Worth,0.0
Fruit punch,Fort Worth,0.0
Shower,Fort Worth,0.0
Quilt,Fort Worth,0.0
Rugs,Fort Worth,0.0
Sheath dress,Fort Worth,0.0
OnePlus,Fort Worth,0.0
Comforter,Fort Worth,0.0
HDR TV,Fort Worth,0.0
Food processor,Fort Worth,0.0
Wrench,Fort Worth,0.0
Political thriller,Fort Worth,0.0
Mattress topper,Fort Worth,0.0
Purified water,Fort Worth,0.0
Pomegranate juice,Fort Worth,0.0
Chocolate-covered nuts,Fort Worth,0.0
Long-sleeve tee,Fort Worth,0.0
Samsung Galaxy,Fort Worth,0.0
Curtains,Fort Worth,0.0
Books,Fort Worth,0.0
Educational kits,Fort Worth,0.0
Action,Fort Worth,0.0
Sundress,Fort Worth,0.0
Wardrobe,Fort Worth,0.0
Floor lamps,Fort Worth,0.0
Khaki shorts,Fort Worth,0.0
Smart TV,Fort Worth,0.0
Coffee beans,Fort Worth,0.0
Samsung Galaxy Tab,Fort Worth,0.0
Dark chocolate,Fort Worth,0.0
V-neck tee,Fort Worth,0.0
Dell XPS,Fort Worth,0.0
Puffer jacket,Fort Worth,0.0
Pineapple juice,Fort Worth,0.0
Studio headphones,Fort Worth,0.0
Mystery,Fort Worth,0.0
Sneakers,Fort Worth,0.0
Dress shirt,Fort Worth,0.0
In-ear headphones,Fort Worth,0.0
Latte,Fort Worth,0.0
Caulking gun,Fort Worth,0.0
Recessed lighting,Fort Worth,0.0
Wireless headphones,Fort Worth,0.0
Milk chocolate,Fort Worth,0.0
Casual dress,Fort Worth,0.0
Sandals,Fort Worth,0.0
Art supplies,Fort Worth,0.0
Clothing,Fort Worth,0.0
Dust ruffle,Fort Worth,0.0
iPad,Fort Worth,0.0
Shower curtain,Fort Worth,0.0
Modern literature,Fort Worth,0.0
Straight-leg jeans,Fort Worth,0.0
Business,Fort Worth,0.0
Wall art,Fort Worth,0.0
Blender,Fort Worth,0.0
Cola,Fort Worth,0.0
Coconut water,Fort Worth,0.0
Horror,Fort Worth,0.0
LG Gram,Fort Worth,0.0
Psychological thriller,Fort Worth,0.0
Microsoft Surface Laptop,Fort Worth,0.0
Noise-cancelling headphones,Fort Worth,0.0
Americano,Fort Worth,0.0
Short stories,Fort Worth,0.0
Cappuccino,Fort Worth,0.0
Artesian water,Fort Worth,0.0
Scoop neck tee,Fort Worth,0.0
Cargo shorts,Fort Worth,0.0
Candles,Fort Worth,0.0
Motorola Moto,Fort Worth,0.0
Google Pixel Slate,Fort Worth,0.0
Games,Fort Worth,0.0
Chino shorts,Fort Worth,0.0
Swim trunks,Fort Worth,0.0
Duvet cover,Fort Worth,0.0
Saw,Fort Worth,0.0
Xiaomi Mi,Fort Worth,0.0
Grapefruit juice,Fort Worth,0.0
Clocks,Fort Worth,0.0
Nokia,Fort Worth,0.0
Flip flops,Fort Worth,0.0
Detective,Fort Worth,0.0
Sweatshirt,Fort Worth,0.0
DJ headphones,Fort Worth,0.0
Romance,Fort Worth,0.0
Affogato,Fort Worth,0.0
Building blocks,Fort Worth,0.0
Bed sheet set,Fort Worth,0.0
Grape juice,Fort Worth,0.0
Table lamps,Fort Worth,0.0
Mirrors,Fort Worth,0.0
Oven,Fort Worth,0.0
Raglan tee,Fort Worth,0.0
Hoodie,Fort Worth,0.0
Curved TV,Fort Worth,0.0
Cheese snacks,Fort Worth,0.0
Espadrilles,Fort Worth,0.0
Pendant lights,Fort Worth,0.0
Peacoat,Fort Worth,0.0
Cropped jeans,Fort Worth,0.0
Loafers,Fort Worth,0.0
TV stand,Fort Worth,0.0
Bed skirt,Fort Worth,0.0
Espresso,Fort Worth,0.0
Sparkling water,Fort Worth,0.0
Macchiato,Fort Worth,0.0
Drill,Fort Worth,0.0
Trench coat,Fort Worth,0.0
iPhone,Fort Worth,0.0
Boyfriend jeans,Fort Worth,0.0
Tape measure,Fort Worth,0.0
Tomato juice,Fort Worth,0.0
Chocolate-covered fruits,Fort Worth,0.0
Sports equipment,Fort Worth,0.0
Denim shorts,Fort Worth,0.0
Nightstand,Fort Worth,0.0
Energy drink,Fort Worth,0.0
T-shirt,Fort Worth,0.0
On-ear headphones,Fort Worth,0.0
Ginger ale,Fort Worth,0.0
Off-the-shoulder tee,Fort Worth,0.0
Legal thriller,Fort Worth,0.0
Refrigerator,Fort Worth,0.0
Toilet,Fort Worth,0.0
Mocha,Fort Worth,0.0
Non-fiction literature,Fort Worth,0.0
Toothbrush holder,Fort Worth,0.0
A-line dress,Fort Worth,0.0
High-waisted jeans,Fort Worth,0.0
Microwave,Fort Worth,0.0
Chocolate fondue,Fort Worth,0.0
Asus ZenBook,Fort Worth,0.0
Throw pillow,Fort Worth,0.0
Screwdriver set,Fort Worth,0.0
Lemon-lime soda,Fort Worth,0.0
Distressed jeans,Fort Worth,0.0
Over-ear headphones,Fort Worth,0.0
Lenovo Tab,Fort Worth,0.0
HP Spectre,Fort Worth,0.0
Sony Xperia,Fort Worth,0.0
Pretzels,Fort Worth,0.0
Puzzles,Fort Worth,0.0
Mirror,Fort Worth,0.0
Hammer,Fort Worth,0.0
Button-down shirt,Fort Worth,0.0
White chocolate,Fort Worth,0.0
Wall sconces,Fort Worth,0.0
Shift dress,Fort Worth,0.0
Granola bars,Fort Worth,0.0
LED TV,Fort Worth,0.0
Beef jerky,Fort Worth,0.0
Parka,Fort Worth,0.0
Board shorts,Fort Worth,0.0
Pliers,Fort Worth,0.0
Bodycon dress,Fort Worth,0.0
Wrap dress,Fort Worth,0.0
Samsung Notebook,Fort Worth,0.0
MacBook,Fort Worth,0.0
Pillowcase set,Fort Worth,0.0
Polo shirt,Fort Worth,0.0
Wide-leg jeans,Fort Worth,0.0
Popcorn,Fort Worth,0.0
Bathtub,Fort Worth,0.0
Poetry,Fort Worth,0.0
Bermuda shorts,Fort Worth,0.0
Drama,Fort Worth,0.0
Plush toys,Fort Worth,0.0
Stove,Fort Worth,0.0
Truffles,Fort Worth,0.0
Acer Swift,Fort Worth,0.0
Varsity jacket,Fort Worth,0.0
Fruit snacks,Fort Worth,0.0
Electric kettle,Fort Worth,0.0
Spring water,Münster,0.0
Wide-leg jeans,San Francisco,0.0
Screwdriver set,Bonn,0.0
Long-sleeve tee,Melbourne,0.0
Henley shirt,Edmonton,0.0
Sheath dress,Boston,0.0
Toilet,Frankfurt,0.0
Health,Frankfurt,0.0
Skorts,Frankfurt,0.0
Google Pixel,Frankfurt,0.0
Electric kettle,Frankfurt,0.0
Historical fiction,Frankfurt,0.0
Purified water,Frankfurt,0.0
Razer Blade,Frankfurt,0.0
Blanket,Frankfurt,0.0
Granola bars,Frankfurt,0.0
Wardrobe,Frankfurt,0.0
Orange soda,Frankfurt,0.0
Puzzles,Frankfurt,0.0
Graphic tee,Frankfurt,0.0
Wireless headphones,Frankfurt,0.0
Candles,Frankfurt,0.0
Windbreaker,Frankfurt,0.0
LG Gram,Frankfurt,0.0
Sports equipment,Frankfurt,0.0
Nokia,Frankfurt,0.0
Blender,Frankfurt,0.0
Educational kits,Frankfurt,0.0
Americano,Frankfurt,0.0
Psychology,Frankfurt,0.0
Chips,Frankfurt,0.0
